Student#,teacher,group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
46,A,1B,10,5,5,7,3,2,1,7,0,5,5,5,0,0,0,2,7
47,A,1C,4,3,2,7,2,2,0,13,0,0,0,5,0,0,0,2,5
48,A,1B,15,4,6,8,5,1,4,13,0,0,5,0,0,0,5,4,13
49,A,1B,18,5,4,8,4,1,3,15,0,0,0,0,0,0,0,4,16
50,A,1B,17,3,4,8,3,2,3,16,5,0,5,5,5,0,5,4,1
51,A,1B,15,5,6,9,5,1,4,16,5,5,5,0,5,0,5,3,13
52,A,1B,11,5,4,9,4,2,2,10,5,0,5,0,5,0,0,2,15
53,A,1B,20,5,6,6,6,3,4,15,0,5,0,5,0,0,0,5,14
54,B,1C,0,3,0,6,0,2,0,12,0,5,0,0,0,0,0,0,0
55,A,1B,14,5,6,7,6,4,2,11,0,5,5,5,5,0,5,4,15
56,B,1C,16,5,5,7,4,2,2,18,0,0,0,0,5,0,0,4,4
57,A,1B,16,4,5,8,5,3,4,15,5,0,0,0,5,0,0,5,14
58,A,1B,15,1,3,8,3,3,0,4,5,5,5,0,0,0,0,3,8
59,A,1B,23,5,6,8,6,2,4,10,5,5,5,0,0,0,0,5,9
60,B,1C,6,4,3,8,5,2,2,16,5,0,0,0,5,5,0,5,11
61,B,1C,11,5,6,6,4,2,2,16,5,5,5,0,5,5,0,5,8
62,A,1B,13,2,2,6,2,1,0,11,5,5,5,0,5,0,0,3,15
63,B,1C,4,4,5,8,5,3,4,13,5,0,0,5,0,0,5,2,6
64,B,1C,3,5,5,8,1,0,5,17,5,5,0,5,5,5,0,1,11
65,B,1C,13,4,5,6,6,1,4,9,0,5,5,0,5,0,0,3,9
66,B,1C,3,4,4,8,3,1,0,11,0,0,5,0,0,5,0,2,2
67,B,1C,11,3,4,8,3,0,4,12,5,5,0,0,5,0,5,5,9
68,B,1C,0,3,0,5,1,0,2,10,0,0,0,0,0,5,0,2,3
69,B,1C,17,5,5,8,5,2,2,16,5,0,5,5,5,5,0,4,3
70,B,1C,15,4,5,5,2,1,2,18,0,5,5,0,5,0,0,4,8
71,B,1C,2,3,4,5,2,0,3,11,0,0,5,0,5,0,0,2,3
72,B,1C,5,4,2,3,5,2,4,13,5,5,0,0,0,0,0,4,10
73,B,1C,0,4,4,6,0,0,0,11,0,0,0,0,0,0,5,1,0
74,B,1C,10,4,5,8,4,3,1,9,0,0,5,0,0,0,0,5,11
75,B,1C,11,5,5,8,5,3,3,9,0,5,0,0,0,5,0,4,4
76,B,1C,4,5,5,7,2,3,3,8,5,0,5,0,5,0,0,3.5,6
77,B,1C,10,4,5,8,4,2,4,13,5,0,5,0,5,0,0,4,4
78,B,1D,0,4,1,6,0,0,2,8,0,0,0,5,0,0,0,1,0
79,B,1C,14,5,6,7,6,2,2,10,0,0,5,0,5,0,0,3,8
80,B,1E,0,5,5,5,3,2,0,6,0,5,5,0,0,0,0,5,3
81,B,1D,0,1,1,0,0,0,0,0,0,5,5,0,0,5,5,0,0
82,B,1E,19,3,0,9,3,2,0,13,0,0,0,0,0,0,0,3,4
83,B,1C,9,5,4,7,5,4,4,16,0,5,5,5,5,0,0,5,6
84,B,1D,4,3,3,4,4,2,2,9,0,5,5,0,0,0,0,3,6
85,B,1D,17,4,3,7,5,1,4,17,0,5,5,0,0,0,5,5,7
86,B,1D,9,3,1,8,1,1,4,16,5,0,5,0,5,0,5,3,4
87,B,1D,20,5,6,5,3,3,1,20,5,5,5,0,0,0,0,3,7
88,B,1D,14,5,5,5,1,1,2,13,0,0,0,0,0,0,0,3,4
89,B,1D,18,5,6,9,5,3,2,18,5,5,5,5,5,0,5,5,15
90,B,1D,16,3,6,7,5,4,0,17,5,0,5,5,5,0,0,4,13
91,B,1D,20,4,6,8,6,4,2,18,5,0,5,5,5,5,0,5,12
92,B,1D,0,5,2,3,0,0,0,18,0,0,5,0,0,0,0,0,0
93,B,1D,10,5,6,8,5,4,5,19,5,5,5,0,0,5,5,5,16
94,A,1B,4,4,5,9,4,2,3,18,0,0,5,0,5,0,0,1,6
95,A,1B,12,4,6,8,6,3,4,17,5,0,5,0,5,0,5,5,10
96,B,1D,13,5,4,9,6,3,4,19,5,5,5,0,0,5,5,5,9
97,B,1E,1,2,2,8,3,3,0,19,5,0,0,0,0,0,0,4,6
98,B,1D,6,5,6,9,4,2,2,14,0,5,5,0,5,5,5,5,8
99,B,1D,8,5,3,3,6,3,0,11,0,0,5,0,0,0,5,5,7
100,B,1D,18,5,4,7,5,4,4,14,5,5,5,0,0,5,0,5,7
101,B,1D,2,3,2,4,0,1,2,10,5,5,5,0,0,0,0,3,0
102,B,1D,12,4,5,4,5,2,0,17,5,5,5,5,0,0,0,4,7
103,B,1D,3,4,4,2,5,0,0,13,5,0,5,0,0,0,0,4,7
104,B,1D,8,4,1,5,0,0,0,10,5,0,0,0,5,0,0,4,2
105,B,1D,6,4,5,8,6,2,2,15,0,5,0,5,0,0,0,4,5
106,B,1D,4,4,6,4,5,1,1,13,0,0,5,5,0,0,0,5,7
107,B,1E,12,5,4,6,5,3,2,17,0,5,0,5,5,0,0,4,12
108,B,1E,14,2,4,7,6,2,2,11,5,0,5,5,0,0,0,5,8
109,B,1E,17,4,4,8,6,3,4,19,5,5,0,0,5,5,0,4,16
110,B,1E,20,5,5,9,5,3,0,19,5,5,5,5,5,0,0,5,11
111,B,1E,12,5,5,7,6,3,4,12,0,0,5,0,0,0,0,4,8
112,B,1C,3,3,6,7,2,3,0,17,0,5,0,0,0,0,0,5,6
113,B,1E,9,1,5,2,3,1,3,9,0,0,5,5,0,5,0,2,6
114,A,1B,20,5,6,9,6,4,4,15,5,5,5,0,0,0,0,4,12
115,B,1D,0,3,2,3,1,1,0,10,5,0,5,0,0,5,0,3,7
116,B,1E,14,5,4,9,5,2,4,17,0,5,5,5,5,0,0,4,12
117,B,1E,0,4,6,8,6,1,4,8,0,5,5,0,0,0,0,4,1
118,B,1E,18,5,6,9,5,4,4,15,5,5,5,5,5,5,0,5,15
119,B,1E,10,4,6,5,6,3,4,12,0,0,5,0,0,0,5,3,9
120,B,1E,3,2,4,3,3,0,0,17,5,5,5,0,0,0,0,2,7
121,B,1E,19,5,6,9,5,4,3,15,5,5,5,0,5,5,5,4,6
122,B,1E,0,4,4,8,3,1,3,9,5,5,5,0,5,0,0,4,0
123,B,1E,10,4,5,7,6,4,4,17,0,0,5,0,0,0,5,3,5
124,B,1E,16,4,6,8,4,3,2,17,0,5,5,5,5,0,0,5,15
125,B,1E,9,5,4,5,4,1,0,7,5,0,0,0,0,5,0,4,6
126,B,1E,3,3,0,6,2,0,0,13,0,0,5,0,0,0,0,2,6
127,B,1E,9,5,5,8,3,2,4,16,5,5,5,0,0,0,5,4,10
128,B,1E,7,2,3,3,2,1,0,16,5,0,5,0,0,0,0,3,4
129,B,1E,15,5,6,8,6,1,4,14,0,5,5,5,5,0,5,5,11
130,B,1E,0,2,2,5,5,2,2,10,5,0,0,0,5,0,0,2,0
